काठमाडौँ	काठमाडौँ $
बालविकास	बालविकास $
सहजकर्ता	सहज कर्ता
ईसीडी	ईसीडी $
शिक्षक	शिक्षक $
हरूको	हरू को
कार्य	कार्य $
मूल्यांकन	मूल्यांकन $
गरी	गरी $
प्रतिव्यक्ति	प्रतिव्यक्ति $
प्रतिमहिना	प्रतिमहिना $
रुपैयाँका	रुपैयाँ का
दरले	दर ले
नगरपालिकाको	नगरपालिका को
आफ्नै	आफ्नै $
स्रोतबाट	स्रोत बाट
व्यहोर्ने	व्यहोर्ने $
गरीबन्दोबस्त	गरीबन्दोबस्त $
गरिएको	गरिए को
जनाएको	जनाए को
नगरपालिकाले	नगरपालिका ले
आगामी	आगामी $
आर्थिक	आर्थिक $
वर्षका	वर्ष का
अर्ब	अर्ब $
पेस	पेस $
गरेको	गरे को
नगरपालिकाको	नगरपालिका को
पाँचौं	पाँचौं $
नगरसभामा	नगरसभा मा
उपप्रमुख	उपप्रमुख $
रजनी	रजनी $
जोशीले	जोशी ले
बजेटको	बजेट को
चालु	चालु $
खर्चतर्फ	खर्च तर्फ
पुँजीगत	पुँजीगत $
खर्चतर्फ	खर्च तर्फ
गरेको	गरे को
जानकारी	जानकारी $
दिइन्	दिइन् $
जसमध्ये	जस मध्ये
चालुतर्फ	चालु तर्फ
खर्चका	खर्च का
पुँजीगततर्फ	पुँजीगत तर्फ
गरेको	गरे को
उनले	उन ले
बताइन्	बताइन् $
कमजोर	कमजोर $
भएका	भए का
तर	तर $
शैक्षिक	शैक्षिक $
स्तर	स्तर $
राम्रो	राम्रो $
भएका	भए का
जेहेनदार	जेहेनदार $
एवं	एवं $
मेधावी	मेधावी $
विद्यार्थीहरूलाई	विद्यार्थी हरूलाई
उच्च	उच्च $
शिक्षा	शिक्षा $
हासिल	हासिल $
गर्न	गर्न $
सहयोग	सहयोग $
हिसाबले	हिसाब ले
नगरपालिकाले	नगरपालिका ले
ऋण	ऋण $
कोषको	कोष को
गरेको	गरे को
उक्त	उक्त $
कोषमा	कोष मा
गरेको	गरे को
सांस्कृतिक	सांस्कृतिक $
प्रवर्द्धनका	प्रवर्द्धन का
खानेपानी	खानेपानी $
पाइप	पाइप $
सुधारका	सुधार का
कृषि	कृषि $
पशु	पशु $
सेवाका	सेवा का
जग्गा	जग्गा $
भवन	भवन $
खरिदका	खरिद का
देको	दे को
मिवा	मिवा $
इटापाके	इटापाके $
एकीकरण	एकीकरण $
आयोजनाका	आयोजना का
सवारीसाधन	सवारीसाधन $
खरिदका	खरिद का
मेसिनरी	मेसिनरी $
औजार	औजार $
खरिदका	खरिद का
अनुसन्धान	अनुसन्धान $
परामर्शका	परामर्श का
कोषका	कोष का
नगरपालिकाका	नगरपालिका का
कर्मचारीको	कर्मचारी को
खाजा	खाजा $
खर्चबापत्	खर्चबापत् $
सय	सय $
गरेको	गरे को
त्यसैगरी	त्यसैगरी $
रानीपोखरी	रानीपोखरी $
पार्क	पार्क $
निर्माण	निर्माण $
भैरवनाथ	भैरवनाथ $
मन्दिर	मन्दिर $
भाज्या	भाज्या $
पोखरी	पोखरी $
जलेश्वर	जलेश्वर $
पुरानो	पुरानो $
नगरपालिका	नगरपालि का
थंथु	थंथु $
दरबार	दरबार $
पुनर्निर्माण	पुनर्निर्माण $
स्क्वायर	स्क्वायर $
न्यातपोल	न्यातपोल $
मर्मत	मर्मत $
नरसिंह	नरसिंह $
गरेको	गरे को
ख्वपः	ख्वपः $
निर्माणका	निर्माण का
सिद्धपोखरी	सिद्धपोखरी $
उत्तरतर्फको	उत्तर तर्फको
खेलमैदान	खेलमैदान $
आकाशेपानी	आकाशेपानी $
संकलन	संकलन $
औद्योगिक	औद्योगिक $
क्षेत्रभित्र	क्षेत्र भित्र
केन्द्र	केन्द्र $
अरनिको	अरनि को
सभा	सभा $
निर्माणका	निर्माण का
गरेको	गरे को
आदर	आदर $
निकेतन	निकेतन $
सञ्चालन	सञ्चालन $
कार्यका	कार्य का
गरेकोनगरप्रमुख	गरेकोनगरप्रमुख $
प्रजापतिले	प्रजापति ले
त्यस्तै	त्यस्तै $
सडक	सडक $
कालोपत्रे	कालोपत्रे $
पार्किङ	पार्किङ $
स्थल	स्थल $
महेश्वरी	महेश्वरी $
व्यवस्थापनका	व्यवस्थापन का
सहिद	सहिद $
स्मृति	स्मृति $
संग्रहालयका	संग्रहालय का
कोसेली	कोसेली $
घरका	घर का
बधशाला	बधशाला $
निर्माणका	निर्माण का
रुपैयाँविनियोजन	रुपैयाँविनियोजन $
गरेको	गरे को
उनले	उन ले
भक्तपुरका	भक्तपुर का
परम्परागत	परम्परागत $
विधाहरूलाई	विधा हरूलाई
जीवन्त	जीवन्त $
बनाउन	बनाउन $
सांस्कृतिकर्मी	सांस्कृतिकर्मी $
कलाकारहरूलाई	कलाकार हरूलाई
जीवन	जीवन $
जिउने	जिउने $
आधारका	आधार का
रुपमा	रुप मा
प्रदर्शनी	प्रदर्शनी $
तयारीसहित	तयारी सहित
विनियेजन	विनियेजन $
गरिएको	गरिए को
नगरबासीको	नगरबासी को
न्यूनीकरण	न्यूनीकरण $
नगरपालिकाको	नगरपालिका को
तर्फबाट	तर्फ बाट
पहल	पहल $
नगरका	नगर का
ठाउँठाउँमा	ठाउँठाउँ मा
भूमिगत	भूमिगत $
पानीको	पानी को
पहिचान	पहिचान $
खानेपानीको	खानेपानी को
खानेपानीको	खानेपानी को
सुधारका	सुधार का
गरिएको	गरिए को
स्थित	स्थित $
ऐतिहासिक	ऐतिहासिक $
पोखरीको	पोखरी को
मध्यभागमा	मध्यभाग मा
अवस्थित	अवस्थित $
मन्दिरलाई	मन्दिर लाई
मौलिक	मौलिक $
शैलीमा	शैली मा
गरिएको	गरिए को
सैनिक	सैनिक $
आवासीय	आवासीय $
महाविद्यालय	महाविद्यालय $
परिसरभित्र	परिसर भित्र
रहेको	रहे को
पुरातात्त्विक	पुरातात्त्विक $
महत्त्वको	महत्त्व को
कार्यलाई	कार्य लाई
निरन्तरता	निरन्तरता $
दिने	दिने $
बजेटमा	बजेट मा
उल्लेख	उल्लेख $
सर्वसाधारण	सर्वसाधारण $
जनताका	जनता का
खुला	खुला $
पोखरीको	पोखरी को
दक्षिणतिर	दक्षिण तिर
पार्किङको	पार्किङ को
सहमति	सहमति $
नगरपालिका	नगरपालि का
नेपाली	नेपाली $
सेनाबीच	सेना बीच
भएको	भए को
क्षेत्रलाई	क्षेत्र लाई
साना	साना $
घरेलु	घरेलु $
उद्योगमा	उद्योग मा
आधारित	आधारित $
वातावरणमैत्री	वातावरणमैत्री $
पर्यटकीय	पर्यटकीय $
योजना	योजना $
बजेटमा	बजेट मा
दरबारक्षेत्र	दरबारक्षेत्र $
परिसरमा	परिसर मा
जनज्योति	जनज्योति $
पुस्तकालय	पुस्तकालय $
रहेको	रहे को
भवनलाई	भवन लाई
स्तरोन्नति	स्तरोन्नति $
आन्तरिक	आन्तरिक $
बाह्य	बाह्य $
पर्यटकका	पर्यटक का
पसः	पसः $
कार्यक्रमसहित	कार्यक्रम सहित
गरिएको	गरिए को
बजेटमा	बजेट मा
सुधार	सुधार $
व्यवस्थित	व्यवस्थित $
कभर्ड	कभर्ड $
हल	हल $
बाल	बाल $
उद्यान	उद्यान $
वडा	वडा $
वडामा	वडा मा
शारीरिक	शारीरिक $
व्यायाम	व्यायाम $
विस्तार	विस्तार $
वर्ष	वर्ष $
नगरपालिकाले	नगरपालिका ले
नगरबासी	नगर बासी
ज्येष्ठ	ज्येष्ठ $
नागरिकका	नागरिक का
अलग्गै	अलग्गै $
बजेटको	बजेट को
गरिएको	गरिए को
किसानको	किसान को
उत्पादनलाई	उत्पादन लाई
रुपमा	रुप मा
सुपथ	सुपथ $
मूल्यमा	मूल्य मा
बिक्री	बिक्री $
वितरण	वितरण $
उपभोक्ता	उपभोक्ता $
हितमा	हित मा
तरकारी	तरकारी $
बजार	बजार $
गर्नेसमेत	गर्ने समेत
बजेटमा	बजेट मा
नगरपालिकाले	नगरपालिका ले
आधुनिक	आधुनिक $
सुविधा	सुविधा $
सम्पन्न	सम्पन्न $
अरनिको	अरनि को
सभाभवनको	सभाभवन को
विस्तृत	विस्तृत $
डिजाइन	डिजाइन $
लागत	लागत $
इस्टिमेट	इस्टिमेट $
तयार	तयार $
भएको	भए को
वर्षमा	वर्ष मा
थालनी	थालनी $
गरेको	गरे को
नगरको	नगर को
सुरक्षा	सुरक्षा $
व्यवस्थालाई	व्यवस्था लाई
चुस्त	चुस्त $
प्रभावकारी	प्रभावकारी $
चोक	चोक $
गल्ली	गल्ली $
क्षेत्रमा	क्षेत्र मा
सीसीक्यामेरा	सीसीक्यामेरा $
रात्रिकालीन	रात्रिकालीन $
बत्तीको	बत्ती को
बजेटमा	बजेट मा
सूर्यविनायकको	सूर्यविनायक को
सूर्यविनायक	सूर्यविनायक $
नगरपालिकाले	नगरपालिका ले
रुपैयाँको	रुपैयाँ को
प्रस्तुत	प्रस्तुत $
गरेको	गरे को
नगरपालिकाको	नगरपालिका को
नगरसभामा	नगरसभा मा
जुना	जुना $
बस्नेतले	बस्नेत ले
चालुतर्फ	चालु तर्फ
सामाजिक	सामाजिक $
सुरक्षातर्फ	सुरक्षा तर्फ
विषयगत	विषयगत $
शाखातर्फ	शाखा तर्फ
ससर्त	ससर्त $
कार्यका	कार्य का
पंुँजीगततर्फ	पंुँजीगत तर्फ
करोडको	करोड को
गरेकी	गरे की
बस्नेतले	बस्नेत ले
गरेको	गरे को
बजेटमा	बजेट मा
नगरपालिकाको	नगरपालिका को
स्रोतबाट	स्रोत बाट
आम्दानी	आम्दानी $
अनुमान	अनुमान $
गरेको	गरे को
प्रदेश	प्रदेश $
सरकारको	सरकार को
समानीकरण	समानीकरण $
अनुदानतर्फ	अनुदान तर्फ
सरकारको	सरकार को
अनुदानबाट	अनुदान बाट
नेपाल	नेपाल $
सरकारको	सरकार को
अनुदानतर्फ	अनुदान तर्फ
सरकारको	सरकार को
अनुदानबाट	अनुदान बाट
प्राप्त	प्राप्त $
गरेको	गरे को
वक्तव्यमा	वक्तव्य मा
सरकारको	सरकार को
राजस्व	राजस्व $
बाँडफाँडको	बाँडफाँड को
स्रोतबाट	स्रोत बाट
आय	आय $
गरिएको	गरिए को
वर्षको	वर्ष को
तुलनामा	तुलना मा
प्रतिशतले	प्रतिशत ले
भएको	भए को
उनले	उन ले
लोकसेवा	लोकसेवा $
आयोगको	आयोग को
विज्ञापनमा	विज्ञापन मा
आरक्षणको	आरक्षण को
कार्यान्वयन	कार्यान्वयन $
हुनुपर्ने	हुनु पर्ने
भन्दै	भन्दै $
सरोकार	सरोकार $
पक्षले	पक्ष ले
बुधबार	बुधबार $
माइतीघर	माइतीघर $
मण्डलामा	मण्डला मा
धर्ना	धर्ना $
दिएका	दिए का
स्थानीय	स्थानीय $
तहमा	तह मा
करारमा	करार मा
कर्मचारी	कर्मचारी $
राख्न	राख्न $
नहुनेसमेत	नहुने समेत
उनीहरुले	उनी हरुले
भनेका	भने का
हामी	हामी $
अपांगता	अपांगता $
भएकाहरूको	भएका हरूको
बिजोग	बिजोग $
देखाउने	देखाउने $
रहरले	रहर ले
टन्टलापुर	टन्टलापुर $
घाममा	घाम मा
मण्डलामा	मण्डला मा
आएका	आए का
होइनौं	होइनौं $
अपांग	अपांग $
महासंघ	महासंघ $
नेपालकी	नेपाल की
उपाध्यक्ष	उपाध्यक्ष $
रमा	रमा $
ढकालले	ढकाल ले
भनिन्	भनिन् $
संविधानमा	संविधान मा
लेखिएको	लेखिए को
समानुपातिक	समानुपातिक $
समावेशी	समावेशी $
आरक्षणको	आरक्षण को
विषयलाई	विषय लाई
हुनुपर्छ	हुनुपर्छ $
भन्नेमात्रै	भन्ने मात्रै
हाम्रो	हाम्रो $
माग	माग $
प्रहरीले	प्रहरी ले
मण्डला	मण्डला $
क्षेत्रमा	क्षेत्र मा
बस्न	बस्न $
नदिएपछि	नदिए पछि
उनीहरु	उनी हरु
पूर्वतर्फ	पूर्वतर्फ $
खाली	खाली $
भागमा	भाग मा
बसेका	बसे का
भएकाहरूले	भएका हरूले
सडकमै	सडक मै
बैसाखी	बैसाखी $
तेर्स्याएका	तेर्स्याए का
थिए	थिए $
तीनपांग्रे	तीनपांग्रे $
स्कुटर	स्कुटर $
बिसाएका	बिसाए का
ह्वील	ह्वील $
चियर	चियर $
बिसाएका	बिसाए का
सेतो	सेतो $
छडीवालाहरू	छडीवाला हरू
उभिएरै	उभिएरै $
मागका	माग का
नारा	नारा $
लगाइरहेका	लगाइ रहेका
भएकाहरूसँगै	भएका हरूसँगै
आदिवासी	आदिवासी $
जनजाति	जनजाति $
महिला	महिला $
दलित	दलित $
मधेसी	मधेसी $
थारु	थारु $
मुस्लिम	मुस्लिम $
अल्पसंख्यकका	अल्पसंख्यक का
प्रतिनिधिहरू	प्रतिनिधि हरू
सहभागी	सहभागी $
संविधानप्रदत्त	संविधानप्रदत्त $
समावेशिता	समावेशिता $
सुनिश्चित	सुनिश्चित $
गर	गर $
बहिष्कृत	बहिष्कृत $
समुदायका	समुदाय का
आरक्षण	आरक्षण $
राज्य	राज्य $
सुशासन	सुशासन $
समितिको	समिति को
निर्देशन	निर्देशन $
पालना	पालना $
आरक्षणसहितको	आरक्षणसहित को
विज्ञापन	विज्ञापन $
पुनः	पुनः $
प्रकाशित	प्रकाशित $
आरक्षणभित्र	आरक्षण भित्र
समावेशितालाई	समावेशिता लाई
करार	करार $
भर्ती	भर्ती $
मान्दैनौं	मान्दैनौं $
जस्ता	जस्ता $
चर्को	चर्को $
लगाएका	लगाए का
लोक	लोक $
सेवा	सेवा $
आयोगले	आयोग ले
तहहरूमा	तह हरूमा
रिक्त	रिक्त $
प्राविधिक	प्राविधिक $
अप्राविधिक	अप्राविधिक $
पदका	पद का
निम्ति	निम्ति $
पदपूर्ति	पदपूर्ति $
आह्वान	आह्वान $
गरेको	गरे को
हटाएको	हटाए को
यसरी	यसरी $
आन्दोलन	आन्दोलन $
गर्दैआएका	गर्दैआए का
संयुक्त	संयुक्त $
बचाऔं	बचाऔं $
भएका	भए का
व्यक्ति	व्यक्ति $
पिछडिएको	पिछडिए को
क्षेत्रका	क्षेत्र का
प्रतिनिधि	प्रतिनिधि $
सरकारको	सरकार को
विरुद्धमा	विरुद्ध मा
होइन	होइन $
संविधान	संविधान $
कार्यान्वयको	कार्यान्वय को
पक्षमा	पक्ष मा
उभिएका	उभिए का
महासंघका	महासंघ का
अध्यक्ष	अध्यक्ष $
जगतबहादुर	जगतबहादुर $
बरामले	बराम ले
अपिलपत्रमार्फत	अपिलपत्र मार्फत
हामीले	हामी ले
ऐन	ऐन $
कानुनविपरीत	कानुनविपरीत $
बदनियतपूर्वक	बदनियत पूर्वक
गरिएको	गरिए को
विज्ञापनलाई	विज्ञापन लाई
तुरुन्त	तुरुन्त $
फिर्ता	फिर्ता $
लिन	लिन $
सरकारसित	सरकार सित
आग्रह	आग्रह $
गर्दछौं	गर्दछौं $
सिद्धान्त	सिद्धान्त $
बमोजिम	बमोजिम $
आरक्षणको	आरक्षण को
नभएसम्म	नभए सम्म
चरणवद्ध	चरणवद्ध $
जारी	जारी $
रहने	रहने $
बरामले	बराम ले
भिडियो	भिडियो $
प्रतिनिधिसभा	प्रतिनिधिसभा $
प्रविधि	प्रविधि $
समितिले	समिति ले
गन्तव्य	गन्तव्य $
नगरकोट	नगरकोट $
जाने	जाने $
ठेकेदारको	ठेकेदार को
लापारबाहीले	लापारबाही ले
अलपत्र	अलपत्र $
भएको	भए को
औंल्याउँदै	औंल्याउँदै $
समयमै	समय मै
दिएको	दिए को
समितिकी	समिति की
सभापति	सभापति $
कल्याणीकुमारीखड्कासहित	कल्याणीकुमारीखड्का सहित
सांसदहरूको	सांसद हरूको
टोलीले	टोली ले
आइतबार	आइतबार $
स्थलगत	स्थलगत $
अनुगमन	अनुगमन $
विस्तारमा	विस्तार मा
ठेकेदारले	ठेकेदार ले
ढिलाइ	ढिलाइ $
लापारबाही	लापारबाही $
गरेको	गरे को
निष्कर्ष	निष्कर्ष $
निकालेको	निकाले को
खड्काको	खड्का को
नेतृत्वमा	नेतृत्व मा
समितिका	समिति का
सदस्यहरू	सदस्य हरू
क्षेत्र	क्षेत्र $
नम्बर	नम्बर $
सदस्य	सदस्य $
महेश	महेश $
बस्नेत	बस्नेत $
प्रमुख	प्रमुख $
जिल्ला	जिल्ला $
अधिकारी	अधिकारी $
नारायणप्रसाद	नारायणप्रसाद $
भट्ट	भट्ट $
चाँगुनारायण	चाँगुनारायण $
सोमप्रसाद	सोमप्रसाद $
मिश्र	मिश्र $
प्रहरी	प्रहरी $
एसपी	एसपी $
सबिन	सबिन $
प्रधान	प्रधान $
नगरउपप्रमुख	नगरउपप्रमुख $
जनप्रतिनिधि	जनप्रतिनिधि $
स्थानीयले	स्थानीय ले
सडकको	सडक को
गरेका	गरे का
निर्माणाधीन	निर्माणाधीन $
सडकको	सडक को
क्रममा	क्रम मा
खड्काले	खड्का ले
कमिसनको	कमिसन को
खेलमा	खेल मा
आयोजना	आयोजना $
परेको	परे को
अनुगमनफछि	अनुगमनफछि $
नगरकोटमा	नगरकोट मा
आयोजित	आयोजित $
अन्तर्त्रिया	अन्तर्त्रिया $
कार्यक्रममा	कार्यक्रम मा
उनले	उन ले
पूर्वतयारी	पूर्वतयारी $
पर्याप्त	पर्याप्त $
अध्ययन	अध्ययन $
नभई	नभई $
ठेक्का	ठेक्का $
हुनुले	हुनु ले
काममा	काम मा
लापरबाही	लापरबाही $
गरेको	गरे को
समयमै	समय मै
नगर्ने	नगर्ने $
ठेकेदार	ठेकेदार $
